$J$,Phase,$k$
7922.13037109375,Stimulus,1
1121.62451171875,Stimulus,2
498.4076232910156,Stimulus,3
354.4554138183594,Stimulus,4
309.67413330078125,Stimulus,5
271.44970703125,Stimulus,6
242.4170379638672,Stimulus,7
217.4560546875,Stimulus,8
192.45303344726562,Stimulus,9
168.64871215820312,Stimulus,10
158.35496520996094,Stimulus,11
132.84765625,Stimulus,12
121.50453186035156,Stimulus,13
116.13299560546875,Stimulus,14
103.2551498413086,Stimulus,15
96.84355163574219,Stimulus,16
92.91679382324219,Stimulus,17
85.37676239013672,Stimulus,18
80.7315673828125,Stimulus,19
4058.376220703125,Response,1
2540.14892578125,Response,2
1866.788330078125,Response,3
1624.4263916015625,Response,4
1383.276123046875,Response,5
1153.7593994140625,Response,6
1034.2655029296875,Response,7
944.937744140625,Response,8
861.7266845703125,Response,9
778.319091796875,Response,10
702.6624755859375,Response,11
658.2306518554688,Response,12
594.48291015625,Response,13
553.4581909179688,Response,14
512.6766967773438,Response,15
461.004638671875,Response,16
423.3876953125,Response,17
406.1431579589844,Response,18
386.0335693359375,Response,19
